orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,fwd_pkts_per_sec,down_up_ratio,fwd_header_size_min,bwd_header_size_min,bwd_header_size_max,fwd_pkts_payload.avg,bwd_pkts_payload.tot,flow_pkts_payload.tot,flow_pkts_payload.avg,fwd_iat.tot,bwd_iat.tot,bwd_iat.avg,flow_iat.tot,flow_iat.avg,pkts_difference,data_pkts_difference,Label
-0.067784276,-0.276688107,-0.500293352,-0.536830406,0,0,0.20084969,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
-0.541293581,-0.666616931,0.882228903,1.189559287,0.000127129,0.166666667,0.20084969,1.923573728,1.736246898,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.129951007,-0.096271096,-0.043461822,-0.013989404,1
1.352743636,2.706267398,3.647273414,4.328449638,7.47E-05,0.166666667,0.20084969,1.528880896,1.374498741,-0.000945157,1.262283221,-0.000945157,-0.000945157,0.64176709,0.976778713,0.724937775,0.638708835,-0.104662359,-0.043461822,0.242008206,1
-0.067784276,-0.393666754,-0.500293352,-0.536830406,0,0,-1.164455136,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
-0.067784276,-0.276688107,-0.500293352,-0.536830406,0,0,0.20084969,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
-0.067784276,-0.276688107,-0.500293352,-0.536830406,0,0,0.20084969,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
-0.067784276,-0.276688107,-0.500293352,-0.536830406,0,0,0.20084969,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
0.405725028,0.113240717,0.882228903,1.032614769,8.41E-05,0.15625,0.20084969,1.528880896,1.374498741,-0.000945157,1.262283221,-0.000945157,-0.000945157,0.656032865,0.975622695,0.665394088,0.651467427,-0.110035419,0.007966254,0.242008206,1
-0.067784276,-0.276688107,-0.500293352,-0.536830406,0,0,0.20084969,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
-0.067784276,-0.237695225,-0.500293352,-0.536830406,0,0,0.655951298,-0.444583263,-0.434242046,-0.000945157,-0.024054168,-0.000945157,-0.000945157,-0.15939154,-0.076126189,-0.096943024,-0.163644575,-0.167366786,0.007966254,-0.013989404,1
