"Label","TotalLengthofFwdPacket","BwdPacketLengthMin","BwdPacketLengthMean","FlowIATMax","FwdIATMin","BwdIATTotal","BwdIATMax","BwdPacketss","PacketLengthMean","SYNFlagCount","DownUpRatio"
0,-0.0544581782585963,3.89459228894982,-0.288913645575204,-0.115613786082535,2.18300932991379,-0.175516247177436,-0.116068283842621,0.0305621443214874,-0.421953599876904,-0.990632890544226,0.254096204648077
0,-0.0515257488423088,3.00393816059471,-0.32670554215617,-0.115217891494888,-0.695261268446237,-0.174587272664632,-0.114997888866617,-0.328467714008227,-0.282827570997111,-0.990632890544226,0.254096204648077
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115810605471551,-0.98308832828224,-0.175517566743505,-0.116069809056323,1.27692202234102,-0.631321527500252,-0.990632890544226,1.37801770355853
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115816526971794,-0.98308832828224,-0.175518094569933,-0.116070419141804,1.40461436299544,-0.631321527500252,-0.990632890544226,1.37801770355853
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115820474638622,-0.98308832828224,-0.175518358483146,-0.116070724184544,1.49768934280918,-0.631321527500252,-0.990632890544226,1.37801770355853
0,-0.0544581782585963,3.89459228894982,-0.288913645575204,-0.115616605844556,0.16821991106177,-0.175516247177436,-0.116068283842621,0.0406876262840332,-0.421953599876904,-0.990632890544226,0.254096204648077
0,-0.0512853857754,-0.284630928716446,1.82225000695177,-0.115147115468178,-0.695261268446237,-0.168941377280426,-0.115133937928828,0.185040868118145,0.761196806739072,1.00958786207428,0.254096204648077
1,-0.0547145655299656,-0.284630928716446,-0.49848689025147,-0.0908218744478011,-0.119607148774232,-0.12567544499946,-0.0584609623212862,-0.595496208085569,-0.607696352787889,1.00958786207428,-0.869825294262381
0,-0.0551792674593227,-0.284630928716446,2.62869711766483,0.877786681806033,-0.695261268446237,0.817909831149987,0.958956935917701,-0.59879051680971,1.45421113676345,1.00958786207428,0.254096204648077
0,-0.0501476672586983,-0.284630928716446,-0.353208950133292,-0.115380591763458,-0.119607148774232,-0.174741661894743,-0.115374006565509,0.0838779844844392,-0.362483332497509,1.00958786207428,0.254096204648077
1,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.104027383941192,1.31952815040578,-0.175516775003863,-0.116068893928102,-0.591023254615884,-0.631321527500252,-0.990632890544226,-0.869825294262381
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115809759542945,-0.98308832828224,-0.175518094569933,-0.116070419141804,1.27173825912995,-0.631321527500252,-0.990632890544226,1.37801770355853
1,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.103859326124783,0.743874030733775,-0.175518358483146,-0.116070724184544,-0.589990662809932,-0.631321527500252,-0.990632890544226,-0.869825294262381
1,-0.041158088556309,-0.284630928716446,-0.361590369756155,-0.0688965328828869,-0.407434208610235,0.0864017827903712,-0.0406623285054172,-0.595364470855958,-0.301383742724158,1.00958786207428,-0.869825294262381
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115806939780925,-0.98308832828224,-0.175518094569933,-0.116070419141804,1.22143346190765,-0.631321527500252,-0.990632890544226,1.37801770355853
0,-0.0434495497941729,-0.284630928716446,-0.253970805490016,-0.0827536893791647,-0.695261268446237,0.0289866713744808,-0.079921329192713,-0.545874138214906,-0.460743492445823,1.00958786207428,0.254096204648077
0,-0.0551792674593227,-0.284630928716446,-0.49848689025147,-0.115822166495834,-0.98308832828224,-0.175517566743505,-0.116069809056323,1.51735143243498,-0.631321527500252,-0.990632890544226,1.37801770355853
0,-0.0534005807641975,-0.284630928716446,-0.436106683043943,-0.0960790387584172,-0.98308832828224,-0.13471288909504,-0.085265983046964,-0.488216898111285,-0.585476867987233,1.00958786207428,0.254096204648077
